"id","spot_id","tag_id","created_at","updated_at"
1,7,1,"2021-02-17 00:18:24.808171","2021-02-17 00:18:24.808171"
2,4,2,"2021-02-17 00:23:14.994788","2021-02-17 00:23:14.994788"
3,14,3,"2021-02-17 00:24:14.824498","2021-02-17 00:24:14.824498"
4,28,1,"2021-02-17 00:43:19.41233","2021-02-17 00:43:19.41233"
5,15,3,"2021-02-17 00:43:26.308795","2021-02-17 00:43:26.308795"
6,16,3,"2021-02-17 00:43:30.923218","2021-02-17 00:43:30.923218"
7,1361,4,"2021-02-17 00:53:49.938768","2021-02-17 00:53:49.938768"
8,1361,5,"2021-02-17 00:53:49.945346","2021-02-17 00:53:49.945346"
9,384,4,"2021-02-17 00:57:37.432313","2021-02-17 00:57:37.432313"
10,384,6,"2021-02-17 00:57:37.439426","2021-02-17 00:57:37.439426"
12,17,1,"2021-02-17 01:27:49.949561","2021-02-17 01:27:49.949561"
13,11,2,"2021-02-17 01:28:02.652598","2021-02-17 01:28:02.652598"
14,55,2,"2021-02-17 01:28:55.169165","2021-02-17 01:28:55.169165"
15,1482,6,"2021-02-17 01:59:58.188056","2021-02-17 01:59:58.188056"
16,1020,6,"2021-02-17 02:17:28.130235","2021-02-17 02:17:28.130235"
18,1175,7,"2021-02-17 02:26:08.106412","2021-02-17 02:26:08.106412"
19,1255,4,"2021-02-17 02:27:13.69795","2021-02-17 02:27:13.69795"
20,1255,8,"2021-02-17 02:27:13.705034","2021-02-17 02:27:13.705034"
21,1473,6,"2021-02-17 02:34:40.432176","2021-02-17 02:34:40.432176"
22,1473,4,"2021-02-17 02:34:45.631344","2021-02-17 02:34:45.631344"
23,2109,7,"2021-02-17 02:50:51.368711","2021-02-17 02:50:51.368711"
24,2161,7,"2021-02-17 02:52:23.667183","2021-02-17 02:52:23.667183"
26,147,9,"2021-02-17 03:05:09.565398","2021-02-17 03:05:09.565398"
27,261,6,"2021-02-17 03:07:55.464429","2021-02-17 03:07:55.464429"
28,691,8,"2021-02-17 03:09:07.398407","2021-02-17 03:09:07.398407"
29,1364,4,"2021-02-17 03:15:19.042417","2021-02-17 03:15:19.042417"
30,1364,8,"2021-02-17 03:15:19.047948","2021-02-17 03:15:19.047948"
31,1335,1,"2021-02-17 03:15:48.403255","2021-02-17 03:15:48.403255"
32,1944,8,"2021-02-17 03:20:44.06027","2021-02-17 03:20:44.06027"
33,1944,6,"2021-02-17 03:20:44.065456","2021-02-17 03:20:44.065456"
34,1944,4,"2021-02-17 03:20:44.070846","2021-02-17 03:20:44.070846"
35,1986,7,"2021-02-17 03:27:26.278182","2021-02-17 03:27:26.278182"
36,1951,6,"2021-02-17 03:28:47.894631","2021-02-17 03:28:47.894631"
37,1951,4,"2021-02-17 03:28:47.900353","2021-02-17 03:28:47.900353"
38,1127,7,"2021-02-17 03:42:06.428458","2021-02-17 03:42:06.428458"
39,1127,6,"2021-02-17 03:42:06.455733","2021-02-17 03:42:06.455733"
40,1893,6,"2021-02-17 03:44:36.636327","2021-02-17 03:44:36.636327"
41,1893,4,"2021-02-17 03:44:40.284014","2021-02-17 03:44:40.284014"
42,1498,6,"2021-02-17 03:52:56.606067","2021-02-17 03:52:56.606067"
43,49,3,"2021-02-17 12:55:18.766106","2021-02-17 12:55:18.766106"
44,70,8,"2021-02-17 13:04:38.038889","2021-02-17 13:04:38.038889"
45,1945,10,"2021-02-17 13:47:44.876733","2021-02-17 13:47:44.876733"
46,1943,7,"2021-02-17 13:48:26.085258","2021-02-17 13:48:26.085258"
47,1886,11,"2021-02-17 14:08:16.174768","2021-02-17 14:08:16.174768"
